timestamps,open,high,low,close,volume
2021-08-27,115.96666717529297,123.23332977294922,114.66666412353516,121.13333129882812,1552447
2021-08-30,122.23332977294922,128.86666870117188,120.33333587646484,125.66666412353516,3049767
2021-08-31,125.63333129882812,125.63333129882812,122.13333129882812,122.5999984741211,1119669
2021-09-01,121.73332977294922,124.46666717529297,120.80000305175781,121.43333435058594,1025770
2021-09-02,121.5,122.63333129882812,120.13333129882812,121.30000305175781,577833
2021-09-03,120.66666412353516,122.43333435058594,119.5999984741211,119.96666717529297,873028
2021-09-06,118.33333587646484,120.06666564941406,117.46666717529297,117.96666717529297,779058
2021-09-07,118.0999984741211,120.5,116.73332977294922,118.76666259765625,881242
2021-09-08,118.86666870117188,121.0,118.06666564941406,119.33333587646484,687609
2021-09-09,119.06666564941406,120.33333587646484,118.69999694824219,119.63333129882812,500469
2021-09-13,118.66666412353516,123.56666564941406,117.69999694824219,121.06666564941406,1033299
2021-09-14,121.69999694824219,123.13333129882812,120.33333587646484,120.86666870117188,985774
2021-09-15,121.26666259765625,125.69999694824219,120.83333587646484,122.56666564941406,2178169
2021-09-16,123.16666412353516,123.5999984741211,120.4000015258789,120.83333587646484,925641
2021-09-17,121.66666412353516,122.66666412353516,117.66666412353516,121.5999984741211,1487107
2021-09-20,118.69999694824219,122.0,117.5,118.0,950803
2021-09-21,118.0,119.19999694824219,115.86666870117188,117.36666870117188,968731
2021-09-22,121.96666717529297,128.6666717529297,119.5,127.16666412353516,6273423
2021-09-23,128.3333282470703,129.8333282470703,124.9000015258789,126.06666564941406,1907928
2021-09-24,126.5999984741211,126.66666412353516,122.0,122.53333282470703,968658
2021-09-27,123.43333435058594,127.19999694824219,121.56666564941406,123.03333282470703,2072442
2021-09-28,123.83333587646484,126.0999984741211,120.76666259765625,123.19999694824219,1115269
2021-09-29,120.80000305175781,125.33333587646484,120.80000305175781,122.86666870117188,1152186
2021-09-30,122.80000305175781,126.26666259765625,122.80000305175781,123.66666412353516,1028527
2021-10-01,122.13333129882812,126.46666717529297,122.13333129882812,125.19999694824219,1221721
2021-10-04,125.96666717529297,132.0,125.93333435058594,131.39999389648438,4301605
2021-10-05,131.8000030517578,142.39999389648438,131.0,140.36666870117188,11076304
2021-10-06,141.5,142.13333129882812,133.6666717529297,135.26666259765625,4024851
2021-10-07,136.6666717529297,142.26666259765625,136.03334045410156,138.03334045410156,3090138
2021-10-08,139.0,139.26666259765625,134.8000030517578,135.6999969482422,1509459
2021-10-11,137.76666259765625,140.0,135.43333435058594,136.8000030517578,1837956
2021-10-12,137.53334045410156,138.60000610351562,131.03334045410156,136.36666870117188,2602749
2021-10-13,147.3333282470703,148.3333282470703,139.53334045410156,140.13333129882812,11898159
2021-10-14,141.60000610351562,141.60000610351562,133.43333435058594,134.10000610351562,3076245
2021-10-18,135.39999389648438,136.36666870117188,131.39999389648438,134.73333740234375,2050810
2021-10-19,135.73333740234375,136.43333435058594,125.83333587646484,127.03333282470703,2481859
2021-10-20,126.0,128.43333435058594,121.69999694824219,124.53333282470703,1996750
2021-10-21,126.53333282470703,127.06666564941406,123.03333282470703,124.4000015258789,997627
2021-10-22,124.66666412353516,128.63333129882812,121.46666717529297,122.66666412353516,1331211
2021-10-25,124.19999694824219,124.53333282470703,118.30000305175781,119.56666564941406,1176193
2021-10-26,120.13333129882812,123.56666564941406,118.80000305175781,120.93333435058594,945394
2021-10-27,121.33333587646484,122.5999984741211,120.66666412353516,121.23332977294922,646321
2021-10-28,121.66666412353516,121.66666412353516,117.66666412353516,118.26666259765625,956547
2021-10-29,118.4000015258789,120.63333129882812,115.5,118.30000305175781,864357
2021-11-01,119.33333587646484,121.26666259765625,118.73332977294922,119.66666412353516,428449
2021-11-02,120.66666412353516,121.63333129882812,118.19999694824219,118.76666259765625,877899
2021-11-03,119.26666259765625,120.96666717529297,118.80000305175781,119.36666870117188,944349
2021-11-04,120.0,121.0,119.66666412353516,120.46666717529297,243243
2021-11-08,121.33333587646484,122.56666564941406,119.4000015258789,121.80000305175781,739851
2021-11-09,122.4000015258789,124.26666259765625,122.03333282470703,123.73332977294922,749373
2021-11-10,123.30000305175781,125.43333435058594,121.43333435058594,123.0,937557
2021-11-11,123.0999984741211,124.23332977294922,121.33333587646484,121.9000015258789,500746
2021-11-12,122.0,122.80000305175781,119.5999984741211,120.4000015258789,556920
2021-11-15,120.46666717529297,120.96666717529297,118.4000015258789,118.73332977294922,568216
2021-11-16,119.33333587646484,120.33333587646484,118.23332977294922,118.5,542046
2021-11-17,118.5999984741211,118.93333435058594,117.06666564941406,117.5,559488
2021-11-18,117.69999694824219,118.86666870117188,114.66666412353516,115.0999984741211,823179
2021-11-22,110.93333435058594,113.36666870117188,109.5999984741211,110.23332977294922,1081020
2021-11-23,110.0,116.4000015258789,109.66666412353516,115.80000305175781,872200
2021-11-24,116.66666412353516,116.66666412353516,114.03333282470703,114.43333435058594,494682
2021-11-25,114.66666412353516,117.9000015258789,113.66666412353516,117.06666564941406,590445
2021-11-26,114.86666870117188,115.66666412353516,112.0,112.46666717529297,675387
2021-11-29,108.13333129882812,111.30000305175781,106.13333129882812,107.5999984741211,996909
2021-11-30,106.66666412353516,110.0,106.66666412353516,107.86666870117188,541420
2021-12-01,108.66666412353516,109.69999694824219,106.69999694824219,107.73332977294922,568318
2021-12-02,107.93333435058594,109.19999694824219,107.30000305175781,108.06666564941406,668788
2021-12-03,108.0,113.46666717529297,108.0,111.56666564941406,1187725
2021-12-06,111.33333587646484,112.0,108.0,108.63333129882812,403416
2021-12-07,109.5,113.13333129882812,108.06666564941406,111.80000305175781,574468
2021-12-08,112.56666564941406,116.0,111.53333282470703,113.73332977294922,716740
2021-12-09,114.30000305175781,114.5999984741211,112.16666412353516,113.26666259765625,326460
2021-12-10,113.5999984741211,115.03333282470703,112.80000305175781,113.66666412353516,374068
2021-12-13,116.63333129882812,116.63333129882812,112.83333587646484,113.76666259765625,523572
2021-12-14,112.66666412353516,115.26666259765625,112.66666412353516,113.66666412353516,330636
2021-12-15,113.33333587646484,116.0,112.73332977294922,114.86666870117188,758527
2021-12-16,115.93333435058594,116.53333282470703,112.0999984741211,112.56666564941406,450322
2021-12-17,112.56666564941406,112.69999694824219,109.23332977294922,109.46666717529297,529926
2021-12-20,107.66666412353516,108.56666564941406,104.06666564941406,104.5999984741211,765865
2021-12-21,104.5999984741211,107.86666870117188,104.5999984741211,105.5999984741211,447006
2021-12-22,107.0,107.0,105.36666870117188,106.63333129882812,357552
2021-12-23,107.46666717529297,109.0999984741211,106.80000305175781,108.56666564941406,565183
2021-12-24,108.93333435058594,109.13333129882812,106.0,107.46666717529297,435417
2021-12-27,107.33333587646484,109.56666564941406,105.5,108.56666564941406,531463
2021-12-28,109.73332977294922,112.80000305175781,108.36666870117188,110.66666412353516,648070
2021-12-29,110.53333282470703,112.0,109.33333587646484,109.73332977294922,397165
2021-12-30,110.66666412353516,111.4000015258789,108.23332977294922,108.53333282470703,349905
2021-12-31,108.63333129882812,112.36666870117188,108.63333129882812,111.19999694824219,641664
2022-01-03,111.86666870117188,115.46666717529297,111.56666564941406,113.53333282470703,902692
2022-01-04,114.13333129882812,115.86666870117188,113.33333587646484,113.83333587646484,550806
2022-01-05,116.66666412353516,118.0,115.69999694824219,116.56666564941406,1434913
2022-01-06,115.93333435058594,115.93333435058594,114.26666259765625,114.66666412353516,515881
2022-01-07,115.76666259765625,119.63333129882812,115.4000015258789,116.16666412353516,1256935
2022-01-10,116.66666412353516,119.66666412353516,116.66666412353516,118.13333129882812,1103274
2022-01-11,118.0,118.9000015258789,116.33333587646484,116.5999984741211,600307
2022-01-12,117.66666412353516,119.56666564941406,116.4000015258789,117.86666870117188,893197
2022-01-13,118.16666412353516,121.53333282470703,118.16666412353516,118.80000305175781,1468117
2022-01-14,118.66666412353516,120.66666412353516,117.86666870117188,119.03333282470703,1046650
2022-01-17,118.66666412353516,120.56666564941406,106.83333587646484,108.23332977294922,5106136
2022-01-18,104.53333282470703,106.5999984741211,101.69999694824219,102.5999984741211,2647821
2022-01-19,102.0,102.0,98.33333587646484,99.03333282470703,1841779
2022-01-20,99.03333282470703,101.5,98.43333435058594,98.76666259765625,1238922
2022-01-21,98.63333129882812,100.56666564941406,96.73332977294922,97.23332977294922,1037853
2022-01-24,96.73332977294922,97.4000015258789,89.33333587646484,90.26666259765625,1495504
2022-01-25,88.86666870117188,96.13333129882812,87.43333435058594,93.73332977294922,1256650
2022-01-27,94.0,94.96666717529297,91.16666412353516,91.76666259765625,787999
2022-01-28,92.66666412353516,94.66666412353516,90.9000015258789,91.36666870117188,836721
2022-01-31,93.9000015258789,93.9000015258789,91.5,91.83333587646484,533619
2022-02-01,92.63333129882812,92.69999694824219,91.23332977294922,91.86666870117188,475720
2022-02-02,93.06666564941406,97.0,92.43333435058594,96.63333129882812,848332
2022-02-03,97.33333587646484,98.5,95.26666259765625,95.53333282470703,657199
2022-02-04,96.0,96.0,94.0,94.23332977294922,413326
2022-02-07,94.46666717529297,95.76666259765625,91.73332977294922,92.03333282470703,484924
2022-02-08,93.33333587646484,93.33333587646484,90.13333129882812,91.13333129882812,477628
2022-02-09,91.73332977294922,93.19999694824219,90.83333587646484,91.93333435058594,284523
2022-02-10,92.0,92.56666564941406,90.5999984741211,90.76666259765625,436306
2022-02-11,90.16666412353516,91.86666870117188,89.73332977294922,91.5,334470
2022-02-14,90.0,90.0,84.0,85.5999984741211,926193
2022-02-15,86.0,88.19999694824219,83.53333282470703,87.5,686419
2022-02-16,88.33333587646484,90.03333282470703,88.26666259765625,89.30000305175781,441832
2022-02-17,89.80000305175781,90.06666564941406,86.73332977294922,87.26666259765625,254253
2022-02-18,87.33333587646484,89.33333587646484,86.73332977294922,88.0,347119
2022-02-21,86.13333129882812,93.13333129882812,84.73332977294922,91.56666564941406,1127506
2022-02-22,86.73332977294922,92.13333129882812,86.73332977294922,91.33333587646484,934498
2022-02-23,91.43333435058594,93.63333129882812,90.0,90.13333129882812,566205
2022-02-24,87.33333587646484,89.5,82.0,83.0,1154743
2022-02-25,84.06666564941406,86.96666717529297,84.06666564941406,85.19999694824219,754929
2022-02-28,84.23332977294922,86.43333435058594,84.23332977294922,86.0999984741211,470685
2022-03-02,85.33333587646484,86.5999984741211,83.63333129882812,85.46666717529297,585598
2022-03-03,86.5999984741211,87.4000015258789,85.13333129882812,85.43333435058594,435070
2022-03-04,86.0,86.13333129882812,83.33333587646484,84.13333129882812,566413
2022-03-07,84.0,84.0,81.5,82.26666259765625,437446
