timestamps,open,high,low,close,volume
2021-08-31,59.0,61.29999923706055,58.5,58.650001525878906,125075
2021-09-01,59.20000076293945,59.20000076293945,57.79999923706055,58.20000076293945,136343
2021-09-02,58.849998474121094,59.0,58.0,58.150001525878906,64991
2021-09-03,58.20000076293945,60.04999923706055,58.04999923706055,58.349998474121094,135401
2021-09-06,58.349998474121094,59.599998474121094,58.04999923706055,58.29999923706055,137590
2021-09-07,58.29999923706055,58.70000076293945,57.25,57.5,78520
2021-09-08,57.75,58.79999923706055,56.95000076293945,57.45000076293945,91975
2021-09-09,57.45000076293945,58.599998474121094,57.45000076293945,57.599998474121094,64342
2021-09-13,57.599998474121094,57.79999923706055,55.95000076293945,56.599998474121094,106895
2021-09-14,56.75,58.5,56.75,57.75,108527
2021-09-15,58.0,59.900001525878906,58.0,58.650001525878906,241968
2021-09-16,59.20000076293945,59.849998474121094,58.900001525878906,59.25,119726
2021-09-17,59.45000076293945,59.95000076293945,57.29999923706055,57.900001525878906,160479
2021-09-20,57.099998474121094,57.849998474121094,56.5,56.95000076293945,89920
2021-09-21,57.20000076293945,57.400001525878906,55.599998474121094,56.54999923706055,76145
2021-09-22,56.70000076293945,57.45000076293945,56.25,57.150001525878906,102105
2021-09-23,57.150001525878906,58.20000076293945,57.150001525878906,57.54999923706055,80969
2021-09-24,57.599998474121094,58.25,57.0,57.04999923706055,92647
2021-09-27,58.25,59.79999923706055,57.20000076293945,58.75,202978
2021-09-28,58.75,59.650001525878906,58.20000076293945,59.0,171581
2021-09-29,58.400001525878906,59.70000076293945,58.400001525878906,58.650001525878906,100967
2021-09-30,59.0,59.75,58.5,58.70000076293945,110986
2021-10-01,58.45000076293945,59.25,57.70000076293945,58.650001525878906,96667
2021-10-04,59.900001525878906,60.45000076293945,59.04999923706055,59.95000076293945,318210
2021-10-05,59.900001525878906,60.25,59.29999923706055,59.650001525878906,100032
2021-10-06,59.95000076293945,61.79999923706055,58.20000076293945,58.54999923706055,194485
2021-10-07,58.75,60.349998474121094,58.75,59.599998474121094,225904
2021-10-08,60.0,62.29999923706055,59.849998474121094,60.54999923706055,509752
2021-10-11,62.5,62.849998474121094,61.0,61.25,296545
2021-10-12,61.150001525878906,61.650001525878906,60.099998474121094,60.5,110251
